,city,g2000,p2000,country_x,2000_ls,region,Regional_label,g2010,g2015,g2020,g2025,g2030,g2035,g2040,g2045,g2050,p2010,p2015,p2020,p2025,p2030,p2035,p2040,p2045,p2050
266,Rabat,84.84132143097669,28.793236,Morocco,253,Africa,0,137.293,171.353,225.655,294.576,376.643,471.593,580.6,700.08,826.476,31.95141199999999,33.35472978144939,34.60052389046992,35.6208177611801,36.36671508001537,36.85639352286479,37.13183969044084,37.19866012089198,37.07636416848942
267,Rabat,84.84132143097669,28.793236,Morocco,253,Africa,0,137.293,173.13,229.157,292.295,357.58,422.199,489.512,557.103,623.929,31.95141199999999,33.7005663542029,35.64368850090564,37.673850971580165,39.545563105290825,41.14023232285409,42.50967486572377,43.81003697394898,45.10791735617705
268,Rabat,84.84132143097669,28.793236,Morocco,253,Africa,0,137.293,171.057,223.725,286.571,358.178,435.84,517.749,598.836,677.109,31.95141199999999,33.29703332145646,34.42096319257669,35.203923571929685,35.62156939369018,35.764345354396205,35.661105707258464,35.347237546105056,34.82830389670994
269,Rabat,84.84132143097669,28.793236,Morocco,253,Africa,0,137.293,169.805,222.697,303.924,420.348,574.517,753.325,945.072,1138.215,31.95141199999999,33.053383529073905,33.688892465697876,33.85247379439689,33.66953051737016,33.2695559062881,32.6736068439322,31.884081658194184,30.89990618888334
270,Riyadh,407.34808294516665,20.045276,Saudi Arabia,737,Asia,2,563.632,728.092,892.067,1087.365,1327.419,1565.661,1800.413,2024.779,2233.451,27.448085999999993,30.914628909540316,34.27384961565029,37.43251058733027,40.37309800356081,43.19250009393365,45.786905481883956,48.023087081117424,49.823013518135845
271,Riyadh,407.34808294516665,20.045276,Saudi Arabia,737,Asia,2,563.632,731.943,901.722,1095.863,1321.315,1529.975,1746.902,1957.948,2157.092,27.448085999999993,31.0781256794995,34.74640969706986,38.338173054790104,41.8612998557687,45.307618392316606,48.61070269877873,51.65149615198702,54.414247834163135
272,Riyadh,407.34808294516665,20.045276,Saudi Arabia,737,Asia,2,563.632,731.455,900.64,1093.311,1329.943,1570.287,1813.803,2027.661,2190.211,27.448085999999993,31.057401445564665,34.708290094724404,38.24067756119546,41.84544539810323,45.44409162078199,49.05807011075429,52.678488546149566,56.289187227841296
273,Riyadh,407.34808294516665,20.045276,Saudi Arabia,737,Asia,2,563.632,736.114,918.466,1140.394,1433.978,1763.586,2119.827,2473.28,2804.399,27.448085999999993,31.255225954319428,35.340672890321386,39.583111569356014,43.95324307768458,48.32702661452055,52.71904993278069,57.148174598542795,61.63016439214094
274,Riyadh,407.34808294516665,20.045276,Saudi Arabia,737,Asia,2,563.632,732.721,908.468,1142.889,1475.347,1875.487,2321.638,2775.012,3206.02,27.448085999999993,31.111171567495617,34.89087863298853,38.691276838106944,42.288874169575514,45.77153837358524,49.04129257876903,51.942200045447755,54.3672140191174
275,Lima,143.35330734648463,25.861887,Peru,821,Americas,1,248.847,329.29,428.611,549.194,692.033,854.21,1025.122,1196.233,1361.754,29.076511999999994,30.185321185716973,30.975402821750823,31.48935801634362,31.74017600218394,31.804403791457982,31.668706892888952,31.32580820486217,30.788616436655236
276,Lima,143.35330734648463,25.861887,Peru,821,Americas,1,248.847,331.247,432.163,541.933,653.711,766.083,883.488,1004.647,1129.376,29.076511999999994,30.36473770060677,31.438969186758037,32.32893432009482,33.04140247974765,33.541078097592056,33.84905067713984,33.95675202058721,33.86233123495731
277,Lima,143.35330734648463,25.861887,Peru,821,Americas,1,248.847,334.393,441.714,549.923,648.638,734.772,819.033,902.024,984.796,29.076511999999994,30.65310936613028,32.3633390678206,34.16742779981246,35.930012458653046,37.540227045416025,38.997956689629625,40.33339150382927,41.55760973033466
278,Lima,143.35330734648463,25.861887,Peru,821,Americas,1,248.847,330.165,428.672,532.004,639.229,745.626,853.139,959.057,1063.384,29.076511999999994,30.26553699524398,31.206780350221777,31.862604911720194,32.226914132674956,32.36849664871992,32.2897622323505,31.97679277433213,31.443912515277074
279,Lima,143.35330734648463,25.861887,Peru,821,Americas,1,248.847,327.823,425.112,552.118,716.672,911.145,1114.086,1315.886,1510.799,29.076511999999994,30.050847252099246,30.55281016796341,30.616793368894804,30.396370162403947,29.980615159313015,29.36639680195296,28.556061003466233,27.56986467823668
280,Tashkent,40.23697082159706,24.77561,Uzbekistan,923,Asia,2,78.648,108.523,146.602,200.094,269.211,353.94,449.177,545.318,635.314,27.44470200000001,28.684059313966813,29.70099194930618,30.420252133155493,30.82408682235283,31.024252454026982,31.04410598897276,30.87121549603167,30.486946417771517
